match_type,date,english_name,url,language,display_order,source_file,notes,description_mode,site_label,link_description
exact_date_and_name,13-May,St. Robert Bellarmine,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=091702,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 87,localized_summary,Laudate,
exact_date_and_name,14-May,St. Boniface of Tarsus,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=060501,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 88,localized_summary,Laudate,
exact_date_and_name,15-May,St. John Baptist de la Salle,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=040701,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 89,localized_summary,Laudate,
exact_date_and_name,17-May,St. Pascal Baylon,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=052101,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 91,localized_summary,Laudate,
exact_date_and_name,20-May,St. Bernardine of Siena,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=052001,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 94,localized_summary,Laudate,
exact_date_and_name,22-May,St. Rita of Cascia,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=052201,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 95,localized_summary,Laudate,
exact_date_and_name,25-May,Pope Gregory VII,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=052502,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 96,localized_summary,Laudate,
exact_date_and_name,26-May,St. Philip Neri,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=052601,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 97,localized_summary,Laudate,
exact_date_and_name,27-May,St. Bede the Venerable,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=052503,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 98,localized_summary,Laudate,
exact_date_and_name,28-May,St. Augustine of Canterbury,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=052701,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 99,localized_summary,Laudate,
exact_date_and_name,29-May,St. Mary Magdalen of Pazzi,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=052501,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 100,localized_summary,Laudate,
exact_date_and_name,30-May,St. Joan of Arc,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=053001,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 102,localized_summary,Laudate,
exact_date_and_name,31-May,The Queenship of Mary,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=082202,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 103,localized_summary,Laudate,
exact_date_and_name,1-Jun,St. Angela Merici,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=012701,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 104,localized_summary,Laudate,
exact_date_and_name,2-Jun,"SS. Marcellinus, Peter, & St. Erasmus",https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=060201,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 105,localized_summary,Laudate,聖マルチェリノ、聖ペトロ
exact_date_and_name,4-Jun,St. Francis Caracciolo,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=060401,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 106,localized_summary,Laudate,
exact_date_and_name,5-Jun,St. Boniface,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=060501,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 107,localized_summary,Laudate,
exact_date_and_name,6-Jun,St. Norbert,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=060601,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 108,localized_summary,Laudate,
exact_date_and_name,10-Jun,St. Margaret,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=061102,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 110,localized_summary,Laudate,
exact_date_and_name,11-Jun,St. Barnabas,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=061101,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 111,localized_summary,Laudate,
exact_date_and_name,12-Jun,St. John of St. Facundo,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=061201,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 113,localized_summary,Laudate,
exact_date_and_name,13-Jun,St. Anthony of Padua,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=061301,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 114,localized_summary,Laudate,
exact_date_and_name,14-Jun,St. Basil the Great,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=010201,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 115,localized_summary,Laudate,
exact_date_and_name,15-Jun,"SS. Vitus, Modestus, & Crescentia",https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=061501,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 116,localized_summary,Laudate,聖ヴィト
exact_date_and_name,17-Jun,St. Gregory Barbarigo,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=061801,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 117,localized_summary,Laudate,
exact_date_and_name,18-Jun,St. Ephrem,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=060901,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 119,localized_summary,Laudate,
exact_date_and_name,20-Jun,Pope Silverius,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=062001,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 122,localized_summary,Laudate,
exact_date_and_name,21-Jun,St. Aloysius Gonzaga,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=062101,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 123,localized_summary,Laudate,
exact_date_and_name,22-Jun,St. Paulinus,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=062203,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 124,localized_summary,Laudate,
exact_date_and_name,26-Jun,SS. John & Paul,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=062601,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 126,localized_summary,Laudate,
exact_date_and_name,29-Jun,SS. Peter & Paul,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=062901,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 128,localized_summary,Laudate,聖ペトロ
exact_date_and_name,29-Jun,SS. Peter & Paul,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=062902,ja,2,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 128,localized_summary,Laudate,聖パウロ
